service_type,main_category,area_name,distance_from_center,time_of_day_minutes,day_of_week,peak_hour,demand_level,weather,final_price
Switch Installation,Home Assist,Cantt,5.61,713,Friday,0,Medium,Foggy,1037
Switch Installation,Home Assist,Valencia,0.63,346,Thursday,1,Low,Rainy,1137
Switch Installation,Home Assist,Township,3.63,1360,Saturday,1,High,Sunny,997
Switch Installation,Home Assist,Wapda Town,3.51,214,Saturday,0,Medium,Sunny,1146
Switch Installation,Home Assist,Valencia,4.59,781,Thursday,0,Medium,Sunny,1058
Switch Installation,Home Assist,Cantt,5.98,798,Monday,0,Low,Clear,1115
Switch Installation,Home Assist,Gulberg,5.19,85,Wednesday,1,Medium,Rainy,1051
Switch Installation,Home Assist,Gulberg,0.88,1411,Saturday,0,High,Rainy,1048
Switch Installation,Home Assist,Gulberg,3.21,706,Tuesday,1,Low,Foggy,1022
Switch Installation,Home Assist,Misri Shah,7.37,429,Wednesday,0,Low,Clear,1063
Switch Installation,Home Assist,Misri Shah,2.6,1297,Saturday,0,Low,Clear,1146
Switch Installation,Home Assist,Township,3.53,278,Tuesday,0,Low,Rainy,1082
Switch Installation,Home Assist,Garhi Shahu,7.92,984,Tuesday,0,Medium,Rainy,991
Switch Installation,Home Assist,Township,1.17,400,Thursday,0,Medium,Rainy,1053
Switch Installation,Home Assist,Bahria Town,6.19,1187,Wednesday,0,Low,Sunny,1081
Switch Installation,Home Assist,Gulberg,1.29,1072,Friday,1,High,Rainy,1125
Switch Installation,Home Assist,Androon Lahore,4.97,845,Thursday,1,Low,Foggy,1063
Switch Installation,Home Assist,Johar Town,0.99,68,Wednesday,0,High,Foggy,1041
Switch Installation,Home Assist,Gulberg,4.22,1208,Saturday,1,Medium,Foggy,1120
Switch Installation,Home Assist,Wapda Town,3.88,1079,Thursday,0,Low,Sunny,1042
Switch Installation,Home Assist,Johar Town,4.26,916,Thursday,1,Medium,Foggy,1075
Switch Installation,Home Assist,Township,0.69,230,Tuesday,1,High,Rainy,1060
Switch Installation,Home Assist,Shadman,3.27,493,Friday,1,Low,Sunny,995
Switch Installation,Home Assist,Johar Town,4.35,674,Friday,1,High,Sunny,1073
Switch Installation,Home Assist,Sultanpura,7.48,431,Thursday,1,Low,Rainy,1103
Switch Installation,Home Assist,Sultanpura,6.79,569,Friday,1,Medium,Clear,1100
Switch Installation,Home Assist,Cantt,6.29,346,Wednesday,1,Medium,Sunny,1088
Switch Installation,Home Assist,Wapda Town,1.52,280,Wednesday,1,Low,Clear,977
Switch Installation,Home Assist,Garden Town,4.61,24,Saturday,0,High,Sunny,1110
Switch Installation,Home Assist,Shadman,2.92,47,Wednesday,1,Low,Sunny,1107
Switch Installation,Home Assist,Androon Lahore,7.91,1189,Monday,1,Low,Foggy,1092
Switch Installation,Home Assist,Gulberg,2.64,829,Monday,0,Low,Sunny,1055
Switch Installation,Home Assist,Androon Lahore,6.34,473,Saturday,1,Low,Rainy,1143
Switch Installation,Home Assist,Askari,6.74,445,Sunday,1,High,Sunny,1073
Switch Installation,Home Assist,Johar Town,0.3,980,Saturday,1,High,Sunny,1055
Switch Installation,Home Assist,Sultanpura,4.78,814,Thursday,1,Low,Rainy,1161
Switch Installation,Home Assist,Gulberg,4.04,1431,Friday,1,High,Sunny,1121
Switch Installation,Home Assist,Garhi Shahu,2.19,49,Friday,1,Low,Rainy,1122
Switch Installation,Home Assist,Sultanpura,2.96,1289,Wednesday,0,Medium,Rainy,988
Switch Installation,Home Assist,Township,0.54,149,Sunday,1,Medium,Rainy,1044
Switch Installation,Home Assist,Sultanpura,6.43,558,Friday,0,Low,Rainy,993
Switch Installation,Home Assist,Valencia,0.54,1368,Saturday,0,Low,Clear,994
Switch Installation,Home Assist,Garden Town,0.42,1348,Friday,0,Medium,Sunny,1152
Switch Installation,Home Assist,Cantt,6.22,856,Tuesday,1,Low,Rainy,1100
Switch Installation,Home Assist,Valencia,0.95,196,Tuesday,1,Low,Sunny,1121
Switch Installation,Home Assist,Gulberg,0.17,782,Wednesday,0,Medium,Foggy,1143
Switch Installation,Home Assist,Iqbal Town,1.09,767,Monday,1,High,Sunny,1086
Switch Installation,Home Assist,Misri Shah,5.84,708,Sunday,1,Medium,Clear,1120
Switch Installation,Home Assist,Township,1.0,676,Monday,1,Medium,Sunny,1088
Switch Installation,Home Assist,Wapda Town,4.9,76,Saturday,0,High,Rainy,1119
Switch Installation,Home Assist,Shadman,5.54,438,Tuesday,1,Medium,Foggy,1066
Switch Installation,Home Assist,Androon Lahore,1.03,1419,Saturday,1,Low,Rainy,1102
Switch Installation,Home Assist,Androon Lahore,7.12,1344,Friday,0,High,Clear,1017
Switch Installation,Home Assist,Valencia,6.17,1182,Friday,1,High,Rainy,1065
Switch Installation,Home Assist,Valencia,7.16,920,Monday,0,Medium,Rainy,1033
Switch Installation,Home Assist,Misri Shah,4.07,1187,Tuesday,1,Low,Rainy,970
Repair Damaged Switch,Home Assist,Cantt,1.57,349,Saturday,1,Low,Foggy,876
Repair Damaged Switch,Home Assist,Valencia,6.13,968,Sunday,1,Low,Foggy,869
Repair Damaged Switch,Home Assist,Gulberg,1.26,135,Monday,0,High,Clear,811
Repair Damaged Switch,Home Assist,Misri Shah,1.01,786,Sunday,1,Low,Foggy,784
Repair Damaged Switch,Home Assist,Township,3.65,163,Friday,1,High,Sunny,794
Repair Damaged Switch,Home Assist,Township,2.83,1404,Tuesday,1,Low,Sunny,737
Repair Damaged Switch,Home Assist,Valencia,4.55,1224,Saturday,1,Medium,Clear,707
Repair Damaged Switch,Home Assist,Gulberg,6.13,436,Monday,1,Low,Clear,720
Repair Damaged Switch,Home Assist,Valencia,3.07,1170,Sunday,1,High,Sunny,754
Repair Damaged Switch,Home Assist,Valencia,1.59,205,Sunday,1,Low,Rainy,727
Repair Damaged Switch,Home Assist,DHA,7.0,1129,Saturday,1,Medium,Sunny,783
Repair Damaged Switch,Home Assist,Township,6.74,213,Monday,0,Medium,Clear,744
Repair Damaged Switch,Home Assist,Garden Town,7.64,279,Friday,1,Low,Sunny,786
Repair Damaged Switch,Home Assist,Misri Shah,1.69,1159,Sunday,1,High,Rainy,869
Repair Damaged Switch,Home Assist,Model Town,6.67,1044,Tuesday,0,Medium,Sunny,855
Repair Damaged Switch,Home Assist,Sultanpura,6.28,755,Saturday,1,Low,Rainy,706
Repair Damaged Switch,Home Assist,Cantt,3.7,40,Thursday,0,High,Clear,884
Repair Damaged Switch,Home Assist,Shadman,6.32,398,Saturday,0,Low,Sunny,712
Repair Damaged Switch,Home Assist,Garden Town,7.5,973,Monday,0,Low,Rainy,748
Repair Damaged Switch,Home Assist,Johar Town,5.65,730,Thursday,1,Medium,Sunny,813
Repair Damaged Switch,Home Assist,Wapda Town,0.35,130,Sunday,1,High,Foggy,835
Repair Damaged Switch,Home Assist,Askari,0.74,107,Tuesday,0,High,Clear,726
Repair Damaged Switch,Home Assist,Cantt,7.85,841,Sunday,1,Medium,Sunny,754
Repair Damaged Switch,Home Assist,Sultanpura,4.56,792,Friday,1,Low,Rainy,700
Repair Damaged Switch,Home Assist,Shadman,0.33,1033,Monday,0,Medium,Clear,786
Repair Damaged Switch,Home Assist,Bahria Town,6.79,226,Wednesday,0,Low,Rainy,866
Repair Damaged Switch,Home Assist,Iqbal Town,7.73,1229,Thursday,0,Low,Rainy,884
Repair Damaged Switch,Home Assist,Misri Shah,0.93,1324,Wednesday,0,High,Foggy,838
Repair Damaged Switch,Home Assist,Shadman,7.36,147,Tuesday,0,Low,Sunny,821
Repair Damaged Switch,Home Assist,Model Town,0.32,1321,Tuesday,0,Low,Sunny,842
Repair Damaged Switch,Home Assist,Johar Town,2.02,458,Wednesday,0,High,Sunny,882
Repair Damaged Switch,Home Assist,Gulberg,3.38,579,Tuesday,1,High,Sunny,875
Repair Damaged Switch,Home Assist,Model Town,5.05,566,Thursday,1,Medium,Clear,717
Repair Damaged Switch,Home Assist,Misri Shah,7.77,841,Tuesday,0,High,Clear,896
Repair Damaged Switch,Home Assist,Wapda Town,2.5,872,Saturday,0,Low,Foggy,738
Repair Damaged Switch,Home Assist,DHA,1.45,678,Friday,0,Medium,Clear,728
Repair Damaged Switch,Home Assist,Cantt,0.58,1408,Tuesday,0,Low,Foggy,766
Repair Damaged Switch,Home Assist,DHA,5.49,357,Tuesday,0,Low,Sunny,843
Repair Damaged Switch,Home Assist,DHA,6.31,275,Tuesday,1,High,Foggy,883
Repair Damaged Switch,Home Assist,Wapda Town,0.22,187,Saturday,1,High,Sunny,770
Repair Damaged Switch,Home Assist,Askari,5.04,573,Wednesday,0,Low,Rainy,896
Repair Damaged Switch,Home Assist,DHA,4.11,611,Thursday,1,High,Clear,809
Repair Damaged Switch,Home Assist,Cantt,4.38,261,Tuesday,0,High,Foggy,870
Repair Damaged Switch,Home Assist,Askari,6.63,235,Thursday,1,Low,Foggy,781
Repair Damaged Switch,Home Assist,Garden Town,0.6,667,Saturday,1,High,Clear,752
Repair Damaged Switch,Home Assist,Iqbal Town,3.49,885,Tuesday,0,Medium,Rainy,776
